Company,Country,Director,Genre,Title,Runtime,Writer,Year
RKO Pictures,USA,John Irvin,Action,HamburgerHill,110,James Carabatsos,1987
Universal Pictures,USA,Joseph Sargent,Adventure,JawsTheRevenge,89,Peter Benchley,1987
Cannon Group,USA,Menahem Golan,Action,OvertheTop,93,Gary Conway,1987
Paramount Pictures,USA,John Hughes,Comedy,PlanesTrainsAutomobiles,,93,John Hughes,1987
Circle Films,USA,Joel Coen,Comedy,RaisingArizona,94,Ethan Coen,1987
Carolco International N.V.,UK,Alan Parker,Horror,AngelHeart,113,William Hjortsberg,1987
Hughes Entertainment,USA,Howard Deutch,Drama,SomeKindofWonderful,95,John Hughes,1987
Gladden Entertainment,USA,Michael Gottlieb,Comedy,Mannequin,90,Edward Rugoff,1987
Warner Bros.,USA,Joe Dante,Action,Innerspace,120,Chip Proser,1987
Metro-Goldwyn-Mayer (MGM),USA,Norman Jewison,Comedy,Moonstruck,102,John Patrick Shanley,1987
Paramount Pictures,USA,Tony Scott,Action,BeverlyHillsCopII,100,Danilo Bach,1987
Amblin Entertainment,USA,William Dear,Comedy,HarryandtheHendersons,110,William Dear,1987
Recorded Picture Company (RPC),UK,Bernardo Bertolucci,Biography,TheLastEmperor,163,Mark Peploe,1987
Touchstone Pictures,USA,Barry Levinson,Biography,GoodMorningVietnam,,121,Mitch Markowitz,1987
Merchant Ivory Productions,UK,James Ivory,Drama,Maurice,140,E.M. Forster,1987
Interscope Communications,USA,Leonard Nimoy,Comedy,3MenandaBaby,102,Coline Serreau,1987
Alive Films,USA,John Carpenter,Horror,PrinceofDarkness,102,John Carpenter,1987
Columbia Pictures Corporation,USA,Luis Valdez,Biography,LaBamba,108,Luis Valdez,1987
Road Movies Filmproduktion,West Germany,Wim Wenders,Drama,WingsofDesire,128,Wim Wenders,1987
Twentieth Century Fox Film Corporation,USA,Marek Kanievska,Crime,LessThanZero,98,Bret Easton Ellis,1987
Orion Pictures,USA,Roger Donaldson,Action,NoWayOut,114,Kenneth Fearing,1987
Universal Pictures,USA,Matthew Robbins,Comedy,batteriesnotincluded,106,Mick Garris,1987
United Artists,USA,Charles Shyer,Comedy,BabyBoom,110,Nancy Meyers,1987
Cineplex-Odeon Films,UK,Bruce Robinson,Comedy,WithnailI,107,Bruce Robinson,1987
Fries Entertainment,USA,Jeffrey Bloom,Drama,FlowersintheAttic,93,Virginia C. Andrews,1987
Amercent Films,USA,James L. Brooks,Comedy,BroadcastNews,133,James L. Brooks,1987
New Century Entertainment Corporation,Canada,Tibor Tak�cs,Fantasy,Tnelalinfierno,85,Michael Nankin,1987
Cannon Films,UK,Sidney J. Furie,Action,SupermanIVTheQuestforPeace,90,Joe Shuster,1987
Laurel Entertainment Inc.,USA,Michael Gornick,Comedy,Creepshow2,92,Stephen King,1987
Atlantic Entertainment Group,USA,Christopher Leitch,Comedy,TeenWolfToo,95,Jeph Loeb,1987
Columbia Pictures Industries,USA,Fred Schepisi,Comedy,Roxanne,107,Edmond Rostand,1987
Rastar Pictures,USA,Herbert Ross,Comedy,TheSecretofMySucces,111,Jim Cash,1987
Applied Action,USA,Tom Mankiewicz,Comedy,Dragnet,106,Dan Aykroyd,1987
British Screen Productions,UK,Alan Clarke,Comedy,RitaSueandBobToo,,93,Andrea Dunbar,1987
TriStar Pictures,USA,Blake Edwards,Comedy,BlindDate,95,Dale Launer,1987
New World Pictures,USA,Ethan Wiley,Comedy,HouseIITheSecondStory,88,Fred Dekker,1987
Warner Bros.,USA,Jim Drake,Comedy,PoliceAcademy4CitizensonPatrol,88,Neal Israel,1987
Atlantic Entertainment Group,USA,Rod Amateau,Adventure,TheGarbagePailKidsMovie,100,Linda Palmer,1987
Orion Pictures,USA,Danny DeVito,Comedy,ThrowMommafromtheTrain,88,Stu Silver,1987
Incorporated Television Company (ITC),UK,Joseph Ruben,Horror,TheStepfather,89,Carolyn Lefcourt,1987
Heron Communications,USA,Jack Sholder,Action,TheHidden,96,Jim Kouf,1987
Universal Pictures,USA,Joe Dante,Comedy,AmazonWomenontheMoon,85,Michael Barrie,1987
Golan-Globus Productions,USA,Barbet Schroeder,Comedy,Barfly,100,Charles Bukowski,1987
Universal Pictures,USA,Phil Joanou,Comedy,ThreeOClockHigh,97,Richard Christian Matheson,1987
Orion Pictures,USA,John Schlesinger,Crime,TheBelievers,114,Mark Frost,1987
Amercent Films,USA,James Toback,Comedy,ThePickupArtist,81,James Toback,1987
Orion Pictures,USA,Woody Allen,Comedy,RadioDays,88,Woody Allen,1987
Lightyear Entertainment,UK,Robert Altman,Comedy,Aria,90,Robert Altman,1987
Emshell Producers,USA,John R. Cherry III,Comedy,ErnestGoestoCamp,92,John R. Cherry III,1987
Nouvelles �ditions de Films (NEF),France,Louis Malle,Drama,AuRevoirlesEnfants,104,Louis Malle,1987
Columbia Pictures Corporation,USA,Ridley Scott,Crime,SomeonetoWatchOverMe,106,Howard Franklin,1987
Guber-Peters Company, The,,USA,James Foley,Comedy,WhosThatGirl,92,Andrew Smith,1987
